	CUBO	ELBO	IWELBO	KHAT	encoder_type	eval_encoder_name	experiment
106	-15.168136596679688	-18.604381713867188	-16.985110473632812	0.7646535854763247	['ELBO']	VAE	0
107	-15.73699951171875	-20.328294067382814	-16.923953247070312	0.5080241652801967	['IWELBO']	IWAE	0
108	-15.339287719726563	-19.000191040039063	-16.92703125	0.6623837828589394	['REVKL']	Forward KL	0
109	-15.72970458984375	-21.146202392578125	-16.9232275390625	0.45909854406315515	['CUBO']	$\chi$	0
110	-15.788067016601563	-20.570643310546874	-16.918834228515625	0.4864509180292083	['CUBO']	$\chi$ (St)	0
111	-15.716757202148438	-19.66572814941406	-16.917269897460937	0.5092122169591717	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	0
112	-15.808140258789063	-21.2947314453125	-16.920987548828126	0.4555086009152392	train	train	1
113	-14.969819946289062	-18.45942077636719	-16.995476684570313	0.7616557209120203	['ELBO']	VAE	1
114	-15.735296020507812	-20.41351501464844	-16.9134326171875	0.5245276879245256	['IWELBO']	IWAE	1
115	-15.387363891601563	-18.872542724609374	-16.944769287109374	0.657331646496405	['REVKL']	Forward KL	1
116	-15.824932250976563	-20.873681640625	-16.92041748046875	0.4605405097727919	['CUBO']	$\chi$	1
117	-15.762699584960938	-21.116024169921875	-16.913430786132814	0.4509372058674493	['CUBO']	$\chi$ (St)	1
118	-15.604296264648438	-19.6254638671875	-16.929951782226563	0.5165345518644323	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	1
119	-15.783348388671875	-20.55170654296875	-16.917842407226562	0.4950866390761372	train	train	2
120	-15.122610473632813	-18.243610229492187	-16.950894165039063	0.7317590369791995	['ELBO']	VAE	2
121	-15.642867431640624	-19.822161865234374	-16.917186279296875	0.533962782459676	['IWELBO']	IWAE	2
122	-15.386300048828126	-19.142811279296875	-16.91960205078125	0.6390879831012054	['REVKL']	Forward KL	2
123	-15.79572998046875	-20.319127197265626	-16.915820922851562	0.4951326389667566	['CUBO']	$\chi$	2
124	-15.89160400390625	-20.725079345703126	-16.906035766601562	0.4119498533382594	['CUBO']	$\chi$ (St)	2
125	-15.793707275390625	-19.346389770507812	-16.914461669921874	0.4713853634110431	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	2
126	-15.676724243164063	-20.268677978515626	-16.911649169921876	0.5334535672212847	train	train	3
127	-15.243163452148437	-18.660277099609374	-16.968471069335937	0.743597439240848	['ELBO']	VAE	3
128	-15.71802734375	-20.030056762695313	-16.920994873046876	0.5333028837958259	['IWELBO']	IWAE	3
129	-15.236673583984375	-19.009432373046874	-16.94909851074219	0.6804004089621151	['REVKL']	Forward KL	3
130	-15.808636474609376	-21.08843994140625	-16.917572631835938	0.41860445624284215	['CUBO']	$\chi$	3
131	-15.784922485351563	-20.736429443359373	-16.912455444335937	0.4357978441150266	['CUBO']	$\chi$ (St)	3
132	-15.759970703125	-19.339630126953125	-16.918098754882813	0.48723104780789506	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	3
133	-15.830891723632812	-20.3745263671875	-16.913350830078127	0.47634626886402276	train	train	4
134	-15.08162353515625	-18.613004760742186	-16.99172424316406	0.7476481849716918	['ELBO']	VAE	4
135	-15.676636962890624	-20.235717163085937	-16.923818359375	0.5244506905952911	['IWELBO']	IWAE	4
136	-15.320135498046875	-19.0881640625	-16.934155883789064	0.6593088969828836	['REVKL']	Forward KL	4
137	-15.666683349609375	-21.482532958984375	-16.92276550292969	0.46909260616391363	['CUBO']	$\chi$	4
138	-15.694114990234375	-20.678804321289064	-16.923765869140624	0.4760787348506028	['CUBO']	$\chi$ (St)	4
139	-15.712174682617187	-19.617068481445312	-16.91905029296875	0.483594005064866	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	4
140	-15.694006958007812	-21.291099853515625	-16.92287109375	0.4857111725145993	train	train	0
141	-15.016492309570312	-19.447006225585938	-17.033948364257814	0.7599153868065553	['ELBO']	VAE	0
142	-15.735892944335937	-19.831439208984374	-16.92572509765625	0.533949944340862	['IWELBO']	IWAE	0
143	-15.40290283203125	-19.089229125976562	-16.95015625	0.6499690444232904	['REVKL']	Forward KL	0
144	-15.805096435546876	-20.90592102050781	-16.91489196777344	0.4411200712799124	['CUBO']	$\chi$	0
145	-15.831839599609374	-20.903115844726564	-16.91939697265625	0.4293593428572932	['CUBO']	$\chi$ (St)	0
146	-15.67455078125	-19.58246765136719	-16.923760986328126	0.5203894602515033	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	0
147	-16.063714599609376	-20.218887939453126	-16.93371765136719	0.3559265788789732	train	train	1
148	-15.385554809570312	-18.169935913085936	-16.9709765625	0.7065924154516026	['ELBO']	VAE	1
149	-15.771678466796875	-19.180460205078123	-16.93213134765625	0.5192049002483687	['IWELBO']	IWAE	1
150	-15.458741455078124	-18.75119873046875	-16.95528625488281	0.6371812124637211	['REVKL']	Forward KL	1
151	-15.906072998046875	-19.81703369140625	-16.935101318359376	0.4719995805109422	['CUBO']	$\chi$	1
152	-15.969821166992187	-20.22899658203125	-16.938916625976564	0.4015752008597621	['CUBO']	$\chi$ (St)	1
153	-15.830453491210937	-18.84327392578125	-16.940825805664062	0.4663127492229963	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	1
154	-15.84041748046875	-21.081541748046874	-16.916978149414064	0.4294646921827387	train	train	2
155	-14.967044067382812	-18.44642578125	-17.00546813964844	0.7741332721924034	['ELBO']	VAE	2
156	-15.629553833007812	-20.649537353515626	-16.919163818359376	0.5095613910234429	['IWELBO']	IWAE	2
157	-15.409113159179688	-19.114871826171875	-16.910238647460936	0.6538327262380198	['REVKL']	Forward KL	2
158	-15.778588256835938	-20.78534423828125	-16.91414794921875	0.4580737619021816	['CUBO']	$\chi$	2
159	-15.738349609375	-21.487256469726564	-16.91926086425781	0.4355356309467701	['CUBO']	$\chi$ (St)	2
160	-15.696907958984376	-19.59972106933594	-16.916614379882812	0.4879306043914913	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	2
161	-15.716798095703124	-20.85671325683594	-16.920186157226563	0.49551009552962577	train	train	3
162	-15.031985473632812	-18.881666870117186	-17.010038452148436	0.7736306898723536	['ELBO']	VAE	3
163	-15.70007568359375	-19.762196044921875	-16.92378662109375	0.5559882862277897	['IWELBO']	IWAE	3
164	-15.266357421875	-19.29221435546875	-16.925640258789063	0.6581388376659877	['REVKL']	Forward KL	3
165	-15.793106689453126	-21.105301513671876	-16.92130187988281	0.4563419718352134	['CUBO']	$\chi$	3
166	-15.765237426757812	-20.8192626953125	-16.917461547851563	0.4729548215936251	['CUBO']	$\chi$ (St)	3
167	-15.593968505859374	-19.729227294921873	-16.91241455078125	0.5058886518490683	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	3
168	-15.809296264648438	-20.705845947265626	-16.917523193359376	0.46905920147127367	train	train	4
169	-15.022491455078125	-18.62941650390625	-17.018906860351564	0.7708112380115708	['ELBO']	VAE	4
170	-15.6606640625	-19.684886474609375	-16.91897033691406	0.5553990061130091	['IWELBO']	IWAE	4
171	-15.390838623046875	-19.073363037109374	-16.94514404296875	0.6706197899092206	['REVKL']	Forward KL	4
172	-15.731419067382813	-20.748665161132813	-16.922081298828125	0.4721765751799621	['CUBO']	$\chi$	4
173	-15.824183959960937	-20.382571411132812	-16.919903564453126	0.4575566760661089	['CUBO']	$\chi$ (St)	4
174	-15.751585083007813	-19.456591186523436	-16.920050659179687	0.4741907626267561	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	4
