	CUBO	IWELBO	KHAT	a2_norm	encoder_type	eval_encoder_name	experiment
78	-14.955272827148438	-17.01689697265625	0.7663899813251644	4.250525947378684	['ELBO']	VAE	1
79	-15.629071044921876	-16.9134228515625	0.5365938539278481	1.5017011158992568	['IWELBO']	IWAE	1
80	-15.312349853515625	-16.945781860351563	0.6666964737516348	2.3339265753726908	['REVKL']	Forward KL	1
81	-15.859888305664063	-16.91176086425781	0.4561446369970593	0.9981542521228275	['CUBO']	$\chi$	1
82	-15.693485107421875	-16.92174255371094	0.47856662471532285	1.2423677365034365	['CUBO']	$\chi$ (St)	1
83	-15.659891357421875	-16.91303466796875	0.5051312918269757	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	1
84	-15.380142211914062	-16.923936157226564	0.6638741757283029	2.3211787164935624	train	train	2
85	-15.0439111328125	-17.000787353515626	0.7620577440407511	3.919004292446968	['ELBO']	VAE	2
86	-15.759654541015625	-16.917327270507812	0.5161546944459324	1.3511526030594951	['IWELBO']	IWAE	2
87	-15.36923095703125	-16.932259521484376	0.6536591506729346	2.3389725016352516	['REVKL']	Forward KL	2
88	-15.82314208984375	-16.920249633789062	0.4524263758597386	0.972993904776435	['CUBO']	$\chi$	2
89	-15.798325805664062	-16.92222412109375	0.4673131897718115	1.1200319301243995	['CUBO']	$\chi$ (St)	2
90	-15.705291137695312	-16.918939208984376	0.5084248038327571	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	2
91	-15.430589599609375	-16.964195556640625	0.6524592845034973	2.2222998875496582	train	train	3
92	-15.0951123046875	-16.9766748046875	0.7482562229017239	4.027904352645354	['ELBO']	VAE	3
93	-15.661734619140624	-16.9241943359375	0.5429182319951165	1.5757384865002977	['IWELBO']	IWAE	3
94	-15.372356567382813	-16.938264770507814	0.6593874968708631	2.2798472241280727	['REVKL']	Forward KL	3
95	-15.80337890625	-16.925462036132814	0.4825008283662422	1.0936081975055567	['CUBO']	$\chi$	3
96	-15.84193115234375	-16.92137451171875	0.42134163688016313	0.9866752578516995	['CUBO']	$\chi$ (St)	3
97	-15.724832153320312	-16.93258544921875	0.5056121277163939	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	3
98	-15.281292724609376	-16.92249755859375	0.68658154458008	2.0980178064322264	train	train	4
99	-14.9334619140625	-17.002286987304686	0.7420774572118782	3.682116858511372	['ELBO']	VAE	4
100	-15.716621704101563	-16.91611083984375	0.5321375035542786	1.378501037425766	['IWELBO']	IWAE	4
101	-15.350377197265624	-16.926751098632813	0.6610857193846874	2.4286480239718444	['REVKL']	Forward KL	4
102	-15.795559692382813	-16.90866638183594	0.4896518229435912	1.1846190740284006	['CUBO']	$\chi$	4
103	-15.778872680664062	-16.908696899414064	0.4435537520278195	1.008859315116022	['CUBO']	$\chi$ (St)	4
104	-15.717471923828125	-16.91009521484375	0.4794313258332076	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	4
105	-15.80430419921875	-16.91271728515625	0.486752552569848	1.1587014901977313	train	train	0
106	-15.123648071289063	-16.982181396484375	0.7661530719182951	3.900997850058819	['ELBO']	VAE	0
107	-15.709927368164063	-16.917637939453126	0.5220348679090562	1.2334793292831077	['IWELBO']	IWAE	0
108	-15.299895629882812	-16.92450134277344	0.6730671222066933	2.1720610515334435	['REVKL']	Forward KL	0
109	-15.78399658203125	-16.915851440429687	0.4564454077738791	1.0539684841214005	['CUBO']	$\chi$	0
110	-15.72005859375	-16.91892150878906	0.48481486075728697	1.3435957800430764	['CUBO']	$\chi$ (St)	0
111	-15.639652099609375	-16.91407897949219	0.5098490192226528	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	0
112	-15.812449951171875	-16.919002685546875	0.45904643507114706	1.1263835119035994	train	train	1
113	-15.022581176757813	-17.00004455566406	0.7485360069285594	4.013574170694259	['ELBO']	VAE	1
114	-15.769905395507813	-16.91647216796875	0.5452179863806731	1.310018514647314	['IWELBO']	IWAE	1
115	-15.277754516601563	-16.945366821289063	0.6775936694008887	2.5516889293749867	['REVKL']	Forward KL	1
116	-15.861399536132813	-16.919219360351562	0.4525367781128985	1.0205280976498932	['CUBO']	$\chi$	1
117	-15.78530517578125	-16.914909057617187	0.4428378161851467	1.224490729532565	['CUBO']	$\chi$ (St)	1
118	-15.739854125976562	-16.917564086914062	0.48212159127611476	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	1
119	-15.690233154296875	-16.929649658203125	0.4638787077252039	1.2419311398881119	train	train	2
120	-15.056879272460938	-16.96529541015625	0.762600721031962	3.833281531836535	['ELBO']	VAE	2
121	-15.634544067382812	-16.915554809570313	0.5456625160297605	1.4192531858964332	['IWELBO']	IWAE	2
122	-15.228849487304688	-16.94251708984375	0.6875998529203804	2.4693921024151293	['REVKL']	Forward KL	2
123	-15.648820190429687	-16.910309448242188	0.5139995015125237	1.337786205483687	['CUBO']	$\chi$	2
124	-15.712081909179688	-16.917904052734375	0.4729078535779041	1.2896804181608799	['CUBO']	$\chi$ (St)	2
125	-15.630969848632812	-16.912333374023437	0.49611308652101105	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	2
126	-15.83195068359375	-16.913771362304686	0.4827918608339645	1.1319543336356301	train	train	3
127	-15.105911865234376	-16.9777294921875	0.7561723120016101	3.445665540178782	['ELBO']	VAE	3
128	-15.743427734375	-16.91342834472656	0.4873014080531127	1.2108435101806858	['IWELBO']	IWAE	3
129	-15.32672607421875	-16.927853393554688	0.6452700209457244	1.942517572867988	['REVKL']	Forward KL	3
130	-15.809869384765625	-16.90955078125	0.44884985129027355	0.9852926245668434	['CUBO']	$\chi$	3
131	-15.821442260742188	-16.911139526367187	0.43514502947389944	1.103909417958835	['CUBO']	$\chi$ (St)	3
132	-15.762539672851563	-16.916770629882812	0.45152939480297344	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	3
133	-15.656837768554688	-16.919238891601562	0.4965797939913289	1.3104690624557171	train	train	4
134	-15.091880493164062	-16.980499267578125	0.7485098163122019	3.9492814243964243	['ELBO']	VAE	4
135	-15.797266235351563	-16.91463623046875	0.5100687517710197	1.3101277906987	['IWELBO']	IWAE	4
136	-15.344180297851562	-16.9447216796875	0.6587304388187124	2.653278343176998	['REVKL']	Forward KL	4
137	-15.668746948242188	-16.92415832519531	0.5132430147209243	1.3089867480472006	['CUBO']	$\chi$	4
138	-15.820035400390625	-16.920186157226563	0.46405518101169124	1.273380564808521	['CUBO']	$\chi$ (St)	4
139	-15.735941772460938	-16.917134399414063	0.492287151189809	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	4
140	-15.753580322265625	-16.9246728515625	0.4785815875997324	1.252586628246722	train	train	0
141	-14.88013427734375	-16.96478759765625	0.7392313302451987	3.6593910192491306	['ELBO']	VAE	0
142	-15.770078125	-16.917119140625	0.5130427290368909	1.1650501338529429	['IWELBO']	IWAE	0
143	-15.25741943359375	-16.9329931640625	0.6892736593817649	2.5736181511292	['REVKL']	Forward KL	0
144	-15.71114501953125	-16.916057739257813	0.47792771274633206	1.2753207885884148	['CUBO']	$\chi$	0
145	-15.77508056640625	-16.91682556152344	0.468481984633635	1.2753850852498245	['CUBO']	$\chi$ (St)	0
146	-15.74201171875	-16.919430541992188	0.4967833599895215	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	0
147	-15.800008544921875	-16.915713500976562	0.48073071153308244	1.1403918261522108	train	train	1
148	-14.983499755859375	-17.017129516601564	0.7684888241683956	4.150457448836367	['ELBO']	VAE	1
149	-15.6193896484375	-16.92262512207031	0.5423465682131827	1.4481365032258635	['IWELBO']	IWAE	1
150	-15.462398071289062	-16.93525817871094	0.6032957754000152	1.821899813984431	['REVKL']	Forward KL	1
151	-15.836428833007812	-16.915235595703123	0.4758068846957967	1.1719656336683142	['CUBO']	$\chi$	1
152	-15.888104858398437	-16.910856323242186	0.4034196678851418	0.9656753696459555	['CUBO']	$\chi$ (St)	1
153	-15.6628369140625	-16.91190246582031	0.478056063123585	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	1
154	-16.00307861328125	-16.926405639648436	0.34372228088074536	0.9696185960615341	train	train	2
155	-15.216506958007812	-16.966805419921876	0.7308946676465428	3.296805479981639	['ELBO']	VAE	2
156	-15.89934814453125	-16.931951904296874	0.48043652646744733	1.0381074178264933	['IWELBO']	IWAE	2
157	-15.512141723632812	-16.938445434570312	0.621030026866382	2.0042642483287185	['REVKL']	Forward KL	2
158	-15.876513061523438	-16.92470458984375	0.4345557669012269	0.989762479431453	['CUBO']	$\chi$	2
159	-15.95746826171875	-16.924407348632812	0.4018632507942572	1.0142553556961582	['CUBO']	$\chi$ (St)	2
160	-15.851340942382812	-16.92644226074219	0.4611980342388768	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	2
161	-15.848880004882812	-16.921259765625	0.44024762849713883	1.1944997017643726	train	train	3
162	-15.165179443359374	-17.003614501953123	0.7426463807243937	3.5521433579318806	['ELBO']	VAE	3
163	-15.673196411132812	-16.91266052246094	0.5459330097134872	1.387848633161873	['IWELBO']	IWAE	3
164	-15.317352294921875	-16.930335693359375	0.6573148425090474	2.2522072406430733	['REVKL']	Forward KL	3
165	-15.843703002929688	-16.913661499023437	0.4591802446343706	1.054367267529916	['CUBO']	$\chi$	3
166	-15.820285034179687	-16.915426635742186	0.44870504368372305	1.1032112620761767	['CUBO']	$\chi$ (St)	3
167	-15.748115844726563	-16.915880737304686	0.4843753483246282	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	3
168	-15.768621826171875	-16.917315673828124	0.49284873568668675	1.2272581481797045	train	train	4
169	-15.067177124023438	-17.014259033203125	0.764025604339993	4.067774878332455	['ELBO']	VAE	4
170	-15.724558715820313	-16.913178100585938	0.5124945548136672	1.2098769684931427	['IWELBO']	IWAE	4
171	-15.3130322265625	-16.92860656738281	0.6653034114717368	2.0126304023434884	['REVKL']	Forward KL	4
172	-15.852102661132813	-16.90868225097656	0.44742630984675924	1.015230500608189	['CUBO']	$\chi$	4
173	-15.856702270507812	-16.91578063964844	0.36855780271621164	0.9322209756904704	['CUBO']	$\chi$ (St)	4
174	-15.70776611328125	-16.912186279296876	0.49395040867101286	0.0	['IWELBO', 'CUBO', 'REVKL']	MsbVAEB	4
